あー,2,2,100,フィラー,*,*,*,*,あー,アー,アー,2/3,*
あーとー,2,2,100,フィラー,*,*,*,*,あーとー,アートー,アートー,2/3,*
あーのー,2,2,100,フィラー,*,*,*,*,あーのー,アーノー,アーノー,2/3,*
あーんのー,2,2,100,フィラー,*,*,*,*,あーんのー,アーンノー,アーンノー,2/3,*
あちゃー,2,2,100,フィラー,*,*,*,*,あちゃー,アチャー,アチャー,2/3,*
あっとー,2,2,100,フィラー,*,*,*,*,あっとー,アットー,アットー,2/3,*
あとー,2,2,100,フィラー,*,*,*,*,あとー,アトー,アトー,2/3,*
あのー,2,2,100,フィラー,*,*,*,*,あのー,アノー,アノー,2/3,*
あのねー,2,2,100,フィラー,*,*,*,*,あのねー,アノネー,アノネー,2/3,*
あらー,2,2,100,フィラー,*,*,*,*,あらー,アラー,アラー,2/3,*
あれー,2,2,100,フィラー,*,*,*,*,あれー,アレー,アレー,2/3,*
あんのー,2,2,100,フィラー,*,*,*,*,あんのー,アンノー,アンノー,2/3,*
うー,2,2,100,フィラー,*,*,*,*,うー,ウー,ウー,2/3,*
うーんとー,2,2,100,フィラー,*,*,*,*,うーんとー,ウーントー,ウーントー,2/3,*
うぉー,2,2,100,フィラー,*,*,*,*,うぉー,ウォー,ウォー,2/3,*
うおー,2,2,100,フィラー,*,*,*,*,うおー,ウオー,ウオー,2/3,*
うじゃわー,2,2,100,フィラー,*,*,*,*,うじゃわー,ウジャワー,ウジャワー,2/3,*
うわー,2,2,100,フィラー,*,*,*,*,うわー,ウワー,ウワー,2/3,*
うんとー,2,2,100,フィラー,*,*,*,*,うんとー,ウントー,ウントー,2/3,*
えー,2,2,100,フィラー,*,*,*,*,えー,エー,エー,2/3,*
えーっ,2,2,100,フィラー,*,*,*,*,えーっ,エーッ,エーッ,2/3,*
えーっと,2,2,100,フィラー,*,*,*,*,えーっと,エーット,エーット,2/3,*
えーっとー,2,2,100,フィラー,*,*,*,*,えーっとー,エーットー,エーットー,2/3,*
えーとー,2,2,100,フィラー,*,*,*,*,えーとー,エートー,エートー,2/3,*
ええー,2,2,100,フィラー,*,*,*,*,ええー,エエー,エエー,2/3,*
えっとー,2,2,100,フィラー,*,*,*,*,えっとー,エットー,エットー,2/3,*
えとー,2,2,100,フィラー,*,*,*,*,えとー,エトー,エトー,2/3,*
おー,2,2,100,フィラー,*,*,*,*,おー,オー,オー,2/3,*
きゃー,2,2,100,フィラー,*,*,*,*,きゃー,キャー,キャー,2/3,*
くあー,2,2,100,フィラー,*,*,*,*,くあー,クアー,クアー,2/3,*
そーのー,2,2,100,フィラー,*,*,*,*,そーのー,ソーノー,ソーノー,2/3,*
そのー,2,2,100,フィラー,*,*,*,*,そのー,ソノー,ソノー,2/3,*
でー,2,2,100,フィラー,*,*,*,*,でー,デー,デー,2/3,*
とー,2,2,100,フィラー,*,*,*,*,とー,トー,トー,2/3,*
なー,2,2,100,フィラー,*,*,*,*,なー,ナー,ナー,2/3,*
ねー,2,2,100,フィラー,*,*,*,*,ねー,ネー,ネー,2/3,*
はー,2,2,100,フィラー,*,*,*,*,はー,ハー,ハー,2/3,*
はえー,2,2,100,フィラー,*,*,*,*,はえー,ワエー,ワエー,2/3,*
ひゃー,2,2,100,フィラー,*,*,*,*,ひゃー,ヒャー,ヒャー,2/3,*
ほー,2,2,100,フィラー,*,*,*,*,ほー,ホー,ホー,2/3,*
まー,2,2,100,フィラー,*,*,*,*,まー,マー,マー,2/3,*
わー,2,2,100,フィラー,*,*,*,*,わー,ワー,ワー,2/3,*
はきます,,,1,名詞,一般,*,*,*,*,はきます,ハキマス,ハキマス,2/3,*
零,,,1,名詞,一般,*,*,*,*,零,ゼロ,ゼロ,2/3,*
零,,,1,名詞,一般,*,*,*,*,零,レイ,レイ,2/3,*
一,,,1,名詞,一般,*,*,*,*,一,イチ,イチ,2/3,*
二,,,1,名詞,一般,*,*,*,*,二,ニー,ニー,2/3,*
三,,,1,名詞,一般,*,*,*,*,三,サン,サン,2/3,*
四,,,1,名詞,一般,*,*,*,*,四,ヨン,ヨン,2/3,*
五,,,1,名詞,一般,*,*,*,*,五,ゴ,ゴ,2/3,*
六,,,1,名詞,一般,*,*,*,*,六,ロク,ロク,2/3,*
七,,,1,名詞,一般,*,*,*,*,七,ナナ,ナナ,2/3,*
八,,,1,名詞,一般,*,*,*,*,八,ハチ,ハチ,2/3,*
九,,,1,名詞,一般,*,*,*,*,九,キュー,キュー,2/3,*
十,,,1,名詞,一般,*,*,*,*,十,ジュー,ジュー,2/3,*
ヒラオカ,,,1,名詞,一般,*,*,*,*,ヒラオカ,ヒラオカ,ヒラオカ,2/3,*
ゴウダ,,,1,名詞,一般,*,*,*,*,ゴウダ,ゴウダ,ゴウダ,2/3,*
スナゴ,,,1,名詞,一般,*,*,*,*,スナゴ,スナゴ,スナゴ,2/3,*
ホリケ,,,1,名詞,一般,*,*,*,*,ホリケ,ホリケ,ホリケ,2/3,*
作業者,,,1,名詞,一般,*,*,*,*,作業者,サギョーシャ,サギョーシャ,2/3,*
三線色,,,1,名詞,一般,*,*,*,*,三線色,サンセンイロ,サンセンイロ,2/3,*
色と相,,,1,名詞,一般,*,*,*,*,色と相,イロトソー,イロトソー,2/3,*
十分,,,1,名詞,一般,*,*,*,*,十分,ジューブン,ジューブン,2/3,*
黒入り,,,1,名詞,一般,*,*,*,*,黒入り,クロイリ,クロイリ,2/3,*
白入り,,,1,名詞,一般,*,*,*,*,白入り,シロイリ,シロイリ,2/3,*
三つ入り,,,1,名詞,一般,*,*,*,*,三つ入り,ミッツイリ,ミッツイリ,2/3,*
綱付け,,,1,名詞,一般,*,*,*,*,綱付け,ツナツケ,ツナツケ,2/3,*
接地体,,,1,名詞,一般,*,*,*,*,接地体,セッチタイ,セッチタイ,2/3,*
中線,,,1,名詞,一般,*,*,*,*,中線,ナカセン,ナカセン,2/3,*
入り確認,,,1,名詞,一般,*,*,*,*,入り確認,イリカクニン,イリカクニン,2/3,*
一点,,,1,名詞,一般,*,*,*,*,一点,イッテン,イッテン,2/3,*
零点,,,1,名詞,一般,*,*,*,*,零点,レーテン,レーテン,2/3,*
零,,,1,名詞,一般,*,*,*,*,零,ゼロ,ゼロ,2/3,*
次,,,1,名詞,一般,*,*,*,*,次,ツギ,ツギ,2/3,*
下,,,1,名詞,一般,*,*,*,*,下,シタ,シタ,2/3,*
ええ,,,1,名詞,一般,*,*,*,*,ええ,エー,エー,2/3,*
いい,,,1,名詞,一般,*,*,*,*,いい,イー,イー,2/3,*
おう,,,1,名詞,一般,*,*,*,*,おう,オー,オー,2/3,*
じゃあ,,,1,名詞,一般,*,*,*,*,じゃあ,ジャー,ジャー,2/3,*
柱上,,,1,名詞,一般,*,*,*,*,柱上,チュージョー,チュージョー,2/3,*
台付け,,,1,名詞,一般,*,*,*,*,台付け,ダイツケ,ダイツケ,2/3,*
本体切,,,1,名詞,一般,*,*,*,*,本体切,ホンタイキリ,ホンタイキリ,2/3,*
二次側,,,1,名詞,一般,*,*,*,*,二次側,ニジガワ,ニジガワ,2/3,*
検相,,,1,名詞,一般,*,*,*,*,検相,ケンソー,ケンソー,2/3,*
赤相,,,1,名詞,一般,*,*,*,*,赤相,アカソー,アカソー,2/3,*
白相,,,1,名詞,一般,*,*,*,*,白相,シロソー,シロソー,2/3,*
黒相,,,1,名詞,一般,*,*,*,*,黒相,クロソー,クロソー,2/3,*
検相,,,1,名詞,一般,*,*,*,*,検相,ケンソー,ケンソー,2/3,*
縁切り,,,1,名詞,一般,*,*,*,*,縁切り,エンギリ,エンギリ,2/3,*
縁長い,,,1,名詞,一般,*,*,*,*,縁長い,エンナガイ,エンナガイ,2/3,*
切っときます,,,1,名詞,一般,*,*,*,*,切っときます,キットキマス,キットキマス,2/3,*
分流言う,,,1,名詞,一般,*,*,*,*,分流言う,ブンリューユー,ブンリューユー,2/3,*
白,,,1,名詞,一般,*,*,*,*,白,シロ,シロ,2/3,*
きたけん,,,10,動詞,自立,*,*,一段,基本形,きたけん,キタケン,キタケン,4/5,*
来たけん,,,10,動詞,自立,*,*,一段,基本形,来たけん,キタケン,キタケン,4/5,*
みとって,,,10,動詞,自立,*,*,一段,基本形,みとって,ミトッテ,ミトッテ,4/5,*
見とって,,,10,動詞,自立,*,*,一段,基本形,見とって,ミトッテ,ミトッテ,4/5,*

